Provincia;Municipio;INE;Núcleo;INE Extendido;Fecha fiesta;Nombre fiesta
Ávila;MUÑOTELLO;51435;;;2020-07-25;Santiago Apóstol
Ávila;NARRILLOS DEL REBOLLAR;51453;;;2020-08-05;
Ávila;NARROS DEL CASTILLO;51472;;;2020-09-24;La Virgen de la Merced
Ávila;NARROS DEL PUERTO;51488;;;2020-07-30;Fiesta de Verano
Ávila;NAVA DE ARÉVALO;51526;NAVA DE ARÉVALO;5152000000;2020-05-15;
Ávila;NAVA DE ARÉVALO;51526;MAGAZOS;5152000100;2020-08-14;
Ávila;NAVA DE ARÉVALO;51526;NOHARRE;5152000300;2020-06-26;
Ávila;NAVA DE ARÉVALO;51526;NOHARRE;5152000300;2020-06-29;
Ávila;NAVA DE ARÉVALO;51526;PALACIOS RUBIOS;5152000400;2020-01-17;
Ávila;NAVA DE ARÉVALO;51526;PALACIOS RUBIOS;5152000400;2020-08-28;
Ávila;NAVA DEL BARCO;51532;;;2020-10-07;Ntra. Sra. Del Rosario
Ávila;NAVACEPEDILLA DE CORNEJA;51511;;;2020-10-07;
Ávila;NAVADIJOS;51547;;;2020-06-24;
Ávila;NAVALACRUZ;51579;;;2020-09-08;Virgen de Las Longueras
Ávila;NAVALACRUZ;51579;;;2020-09-09;Virgen de Las Longueras
Ávila;NAVALMORAL;51585;;;2020-06-15;
Ávila;NAVALPERAL DE PINARES;51619;;;2020-09-15;
Ávila;NAVALPERAL DE TORMES;51624;NAVALPERAL DE TORMES;5162000000;2020-07-25;Santiago Apóstol
Ávila;NAVALPERAL DE TORMES;51624;NAVALPERAL DE TORMES;5162000000;2020-11-30;San Andrés
Ávila;NAVALPERAL DE TORMES;51624;ORTIGOSA DE TORMES;5162000200;2020-06-29;San Pedro y San Pablo
Ávila;NAVARREDONDA DE GREDOS;51658;;;2020-09-28;
Ávila;NAVARREDONDILLA;51661;;;2020-05-15;
Ávila;NAVARREVISCA;51677;;;2020-09-15;Ntra. Sra. De las Angustias
Ávila;NAVAS DEL MARQUÉS (LAS);51683;;;2020-07-14;Santísimo Cristo de Gracia
Ávila;NAVAS DEL MARQUÉS (LAS);51683;;;2020-07-15;Santísimo Cristo de Gracia
Ávila;NAVATALGORDO;51696;;;2020-09-09;
Ávila;NAVATEJARES;51700;;;2020-06-11;San Bernabé
Ávila;OJOS-ALBOS;51738;;;2020-10-15;
Ávila;ORBITA;51743;;;2020-08-03;
Ávila;PARRAL (EL);51808;;;2020-06-10;
Ávila;PEDRO-RODRÍGUEZ;51836;;;2020-06-06;San Primo
Ávila;PEDRO-RODRÍGUEZ;51836;;;2020-08-17;San Roque
Ávila;POZANCO;51906;;;2020-08-28;Último viernes de agosto
Ávila;PRADOSEGAR;51913;;;2020-08-16;
Ávila;RASUEROS;51934;;;2020-12-14;Santa Lucía
Ávila;RIOFRÍO;51952;CABAÑAS;5195000100;2020-09-12;La Virgen Chica
Ávila;RIVILLA DE BARAJAS;51965;;;2020-08-03;Santa Magdalena
Ávila;SALOBRAL;51971;;;2020-11-11;San Martín
Ávila;SAN BARTOLOMÉ DE CORNEJA;52004;;;2020-08-24;San Bartolomé
Ávila;SAN ESTEBAN DE LOS PATOS;52063;;;2020-08-03;Fiesta de Verano
Ávila;SAN ESTEBAN DE ZAPARDIEL;52085;;;2020-05-31;Visitación de Ntra. Sra.
Ávila;SAN ESTEBAN DEL VALLE;52079;;;2020-02-05;
Ávila;SAN ESTEBAN DEL VALLE;52079;;;2020-07-07;
Ávila;SAN JUAN DE GREDOS;59014;SAN BARTOLOMÉ DE TORMES;5901000300;2020-09-14;Santo Cristo Bendito
Ávila;SAN JUAN DE LA NAVA;52119;;;2020-10-06;
Ávila;SAN JUAN DEL MOLINILLO;52124;;;2020-06-24;San Juan Bautista
Ávila;SAN JUAN DEL MOLINILLO;52124;;;2020-09-30;Fiesta del Cristo
Ávila;SAN JUAN DEL OLMO;52130;;;2020-10-07;Virgen del Rosario
Ávila;SAN LORENZO DE TORMES;52145;;;2020-02-03;San Blas
Ávila;SAN MARTÍN DE LA VEGA DEL ALBERCHE;52158;;;2020-09-21;
Ávila;SAN MARTÍN DEL PIMPOLLAR;52161;;;2020-07-06;
Ávila;SAN MARTÍN DEL PIMPOLLAR;52161;;;2020-11-11;
Ávila;SAN MIGUEL DE SERREZUELA;52183;;;2020-10-05;Ntra. Sra. La Virgen de la Encina
Ávila;SAN PASCUAL;52196;;;2020-05-18;
Ávila;SAN PASCUAL;52196;;;2020-07-02;
Ávila;SAN VICENTE DE ARÉVALO;52315;;;2020-02-01;Las Candelas
Ávila;SANCHIDRIÁN;52047;;;2020-08-17;San Roque
Ávila;SANCHORREJA;52050;;;2020-11-11;
Ávila;SANTA CRUZ DE PINARES;52222;;;2020-09-14;
Ávila;SANTA CRUZ DEL VALLE;52217;;;2020-08-06;
Ávila;SANTA MARÍA DEL ARROYO;52243;;;2020-05-15;San Isidro
Ávila;SANTA MARÍA DEL ARROYO;52243;;;2020-06-13;San Antonio
Ávila;SANTA MARÍA DEL TIÉTAR;52275;;;2020-08-14;
Ávila;SANTIAGO DEL TORMES;59040;HORCAJO DE LA RIBERA;5904000300;2020-07-24;
Ávila;SANTIAGO DEL TORMES;59040;LASTRA DEL CANO (LA);5904000400;2020-10-03;
Ávila;SANTIAGO DEL TORMES;59040;LASTRA DEL CANO (LA);5904000400;2020-10-05;
Ávila;SANTIAGO DEL COLLADO;52281;;;2020-07-25;Santiago Apóstol
