,AMBITO,COMUNIDAD - MUNICIPIO,FECHA,FIESTA - LOCALIDAD,lat,lng
181,LOCAL,VEGADEO,2023-06-12,Lunes de Feria,43.46422000000007,-7.050719999999956
182,LOCAL,VEGADEO     ,2023-08-16,Lunes siguente a las Fiestas Patronales,43.46422000000007,-7.050719999999956
183,LOCAL,VILLANUEVA DE OSCOS,2023-02-21,Martes de Carnaval,43.31168000000008,-6.986189999999965
184,LOCAL,VILLANUEVA DE OSCOS,2023-07-26,Santa Ana,43.31168000000008,-6.986189999999965
185,LOCAL,VILLAVICIOSA,2023-09-11,Fiestas Patronales Nuestra Señora del Portal,43.48132000000004,-5.434099999999944
186,LOCAL,VILLAVICIOSA,2023-09-13,Fiestas Patronales Nuestra Señora del Portal,43.48132000000004,-5.434099999999944
187,LOCAL,VILLAYON            ,2023-08-14,Fiestas de Nuestra Señora,43.447520000000054,-6.704629999999952
188,LOCAL,VILLAYON,2023-10-13,Fiesta de la Virgen del Pilar,43.447520000000054,-6.704629999999952
189,LOCAL,YERNES Y TAMEZA,2023-06-19,San Antonio en Yernes,43.25192000000004,-6.12737999999996
190,LOCAL,YERNES Y TAMEZA,2023-10-09,El Rosario en Tameza,43.25192000000004,-6.12737999999996
