,festival,localidad,lat,lng,status,est,type,prov,comunidad,presupuesto_2022,turistas_2022,city_budget,city_pop,euro_per_citizen,turista_to_pop,budget_to_pop,start,fin,web,st,fi
98,Sant Narcís,Girona,41.98081,2.81873,local,1980,fair ,Girona,Catalonia,400000,180000,132000000,101932,3.92,1.77,1294.98,10/28/2023,11/6/2023,https://web.girona.cat/firesdesantnarcis,2023-10-28,2023-11-06
99,Aplec del Cargol,Lleida,41.61495,0.62755,local,1980,gastronomic,Lleida,Catalonia,150000,200000,201000000,140080,1.07,1.43,1434.89,5/20/2023,5/22/2023,https://aplec.org/,2023-05-20,2023-05-22
100,La Mercé ,Barcelona ,41.3902,2.15401,local,1871,cabalgata ,Barcelona ,Catalonia ,4100000,1200000,3600000000,1636193,2.51,0.73,2200.23,9/23/2023,9/26/2023,https://www.barcelona.cat/lamerce/en,2023-09-23,2023-09-26
101,Sant Antoni,Barcelona ,41.3902,2.15401,local,1890,cabalgata ,Barcelona ,Catalonia ,200000,50000,3600000000,1636193,0.12,0.03,2200.23,1/14/2023,1/23/2023,https://fmsantantoni.com/,2023-01-14,2023-01-23
102,Santa Eulalia,Barcelona ,41.3902,2.15401,local,1983,cabalgata ,Barcelona ,Catalonia ,150000,50000,3600000000,1636193,0.09,0.03,2200.23,1/10/2023,1/12/2023,https://www.barcelona.cat/santaeulalia/,2023-01-10,2023-01-12
103,Santa Tecla,Tarragona,41.11667,1.24546,local,1370,cabalgata ,Tarragona,Catalonia ,584000,100000,186450000,134883,4.33,0.74,1382.31,9/11/2023,9/24/2023,https://www.tarragona.cat/cultura/festes-i-cultura-popular/santa-tecla,2023-09-11,2023-09-24
104,Los Tres Reis en Barcelona,Barcelona ,41.3902,2.15401,local,1826,religious/ popular,Barcelona ,Catalonia ,860000,750000,3600000000,1636193,0.53,0.46,2200.23,1/5/2023,1/7/2023,https://www.barcelona.cat/nadal/es/los-reyes-de-oriente/la-cabalgata-de-los-reyes-magos,2023-01-05,2023-01-07
105,San Antonio de Ceuta,Ceuta,35.88999,-5.31784,local,1980,religious/ popular,Ceuta,Ceuta,200000,50000,377000000,82566,2.42,0.61,4566.04,6/13/2023,6/13/2023,http://www.conoceceuta.com/0080_06_san_antonio.htm,2023-06-13,2023-06-13
106,San Xoán,A Coruña,43.36846,-8.4021,local,1977,fireworks,A Coruña,Galicia,250000,125000,243000000,245468,1.02,0.51,989.95,6/23/2023,6/24/2023,https://www.hoguerassanjuan.com/,2023-06-23,2023-06-24
107,El Entroido,Verín,41.9404,-7.43912,local,1251,carnaval,Orense,Galicia,389000,50000,14000000,13647,28.5,3.66,1025.87,2/17/2023,3/1/2023,https://www.turismo.gal/que-facer/promocions-para-gozar-agora/o-entroido-en-galicia,2023-02-17,2023-03-01
108,Arde Lucus,Lugo,43.01666,-7.55,local,2001,historic,Lugo,Galicia,350000,600000,118000000,97211,3.6,6.17,1213.85,6/22/2023,6/25/2023,http://www.ardelucus.com/,2023-06-22,2023-06-25
109,Sant Joan,Ciutadella,40.00112,3.84144,local,1844,fireworks,Islas Baleares,Islas Baleares,400000,50000,34000000,30588,13.08,1.63,1111.55,6/23/2023,6/24/2023,http://santjoan.ajciutadella.org/,2023-06-23,2023-06-24
110,San Mateo,Logroño,42.46667,-2.45,local,1956,cabalgata ,La Rioja,La Rioja,600000,30000,190000000,152485,3.93,0.2,1246.02,9/17/2023,9/24/2023,http://www.logroño.es/wps/portal/web/inicio/ayuntamiento/gabinetePrensa/publicaciones/!ut/p/c5/04_SB8K8xLLM9MSSzPy8xBz9CP0os3hTF98Af293QwMDDwsLA09H42AjNx9_A2cvA6B8pFl8oLlpKFjewsfS1cAzJDDY0NkxwMDA1JwY3QY4gKMBAd3hINfiVmFhhCbv72fkApQ3CrT0DfM3MjE1g8jjcz1IHo_7_Dzyc1P1C3JDIwwyPXUBWzHIhQ!!/dl3/d3/L0lDUmlTUSEhL3dHa0FKRnNBL1lCUmZ3QSEhL2Vz/,2023-09-17,2023-09-24
111,San Isidro,Madrid,40.41955,-3.69196,local,1985,fair,Madrid,Madrid,650000,553000,5801000000,3334730,0.19,0.17,1739.57,5/12/2023,5/15/2023,https://www.sanisidromadrid.com/,2023-05-12,2023-05-15
112,Feria de Melilla,Melilla,35.29186,-2.9385,local,1903,fair,Melilla,Melilla,600000,250000,355500000,85159,7.05,2.94,4174.54,8/13/2023,8/20/2023,https://www.melilla.es/melillaportal/contenedor.jsp?seccion=s_fact_d4_v1.jsp&contenido=23461&nivel=1400&tipo=2&evento=1,2023-08-13,2023-08-20
113,Els Enfarinats,Ibi,38.6255,-0.57135,local,1797,battle,Alicante ,Valenciana,50000,3000,27000000,23652,2.11,0.13,1141.55,12/28/2023,12/28/2023,https://www.ibi.es/es/turismo/fiestas/fiestas-de-invierno-enfarinats-tapats-danzas/fiestas-9,2023-12-28,2023-12-28
114,Llum BCN ,Barcelona ,41.3902,2.15401,land art,2012,light,Barcelona ,Catalonia ,1100000,110000,3600000000,1636193,0.67,0.07,2200.23,2/3/2023,2/5/2023,https://www.barcelona.cat/llumbcn/es,2023-02-03,2023-02-05
