,festival,localidad,lat,lng,status,est,type,prov,comunidad,presupuesto_2022,turistas_2022,city_budget,city_pop,euro_per_citizen,turista_to_pop,budget_to_pop,start,fin,web,st,fi
22,Semana Santa en Medina de Rioseco,Medina de Rioseco,41.88306,-5.04278,interes internacional,2009,religious/ popular,Valladolid,Castilla-León ,15000,10000,6450000,4493,3.34,2.23,1435.57,4/2/2023,4/9/2023,https://semanasantaenrioseco.com/,2023-04-02,2023-04-09
23,Semana Santa en Medina del Campo,Medina del Campo,41.30861,-4.915,interes internacional,2011,religious/ popular,Valladolid,Castilla-León ,20000,10000,21300000,20183,0.99,0.5,1055.34,4/2/2023,4/9/2023,https://www.semanasantamedina.es/,2023-04-02,2023-04-09
24,Semana Santa en Palencia,Palencia,42.01667,-4.53333,interes internacional,2012,religious/ popular,Palencia,Castilla-León ,55000,40000,93000000,76302,0.72,0.52,1218.84,4/2/2023,4/9/2023,https://semanasantapalencia.com,2023-04-02,2023-04-09
25,Semana Santa en Ávila,Ávila,40.65444,-4.69611,interes internacional,2014,religious/ popular,Ávila,Castilla-León ,45000,30000,61800000,57730,0.78,0.52,1070.5,4/2/2023,4/9/2023,https://www.juntasemanasanta-avila.com/,2023-04-02,2023-04-09
26,Corpus Christi en Béjar,Béjar,40.38472,-5.76194,interes internacional,2019,religious/ popular,Salamanca,Castilla-León ,15000,10000,15000000,12099,1.24,0.83,1239.77,6/8/2023,6/8/2023,https://www.i-bejar.com/festividad-corpus-christi,2023-06-08,2023-06-08
27,Encierros de Cuéllar,Cuéllar,41.40083,-4.31361,interes internacional,2018,corrida ,Segovia,Castilla-León ,600000,30000,9000000,9588,62.58,3.13,938.67,8/26/2023,9/1/2023,https://www.encierrosdecuellar.es/encierrosdecuellar-es/1/,2023-08-26,2023-09-01
28,Carnaval de Badajoz,Badajoz,38.88333,-6.96667,interes internacional,2022,carnaval,Badajoz,Extremadura,49000,350000,122565000,150146,0.33,2.33,816.31,2/25/2023,3/1/2023,https://carnavaldebadajoz.org,2023-02-25,2023-03-01
29,Semana Santa en Cáceres,Cáceres,39.47306,-6.37111,interes internacional,2011,religious/ popular,Cáceres,Extremadura,33000,50000,170800000,95456,0.35,0.52,1789.31,4/2/2023,4/9/2023,http://semanasantadecaceres.es/,2023-04-02,2023-04-09
30,Semana Santa en Mérida,Mérida,38.88333,-6.96667,interes internacional,2018,religious/ popular,Badajoz,Extremadura,45000,30000,53000000,59324,0.76,0.51,893.4,4/2/2023,4/9/2023,https://www.semanasantademerida.es/l,2023-04-02,2023-04-09
31,La Arribada,Bayona,42.12,-8.85,interes internacional,2015,historic,Pontevedra,Galicia,230000,30000,10500000,12349,18.62,2.43,850.27,3/4/2023,3/6/2023,https://turismoriasbaixas.com/descubre/fiestas/arribada-de-baiona,2023-03-04,2023-03-06
32,Semana Santa en Vivero,Vivero,43.64806,-7.59,interes internacional,2013,religious/ popular,Lugo,Galicia,15000,3500,14000000,15231,0.98,0.23,919.18,4/2/2023,4/9/2023,https://www.semanasantaviveiro.com/,2023-04-02,2023-04-09
33,Semana Santa en Ferrol,Ferrol,43.46667,-8.25,interes internacional,2014,religious/ popular,La Coruña,Galicia,45000,30000,86800000,64158,0.7,0.47,1352.91,4/2/2023,4/9/2023,https://semanasantaferrol.com/,2023-04-02,2023-04-09
34,Corpus Christi en Puenteareas,Puenteareas,42.17528,-8.505,interes internacional,1968,religious/ popular,Pontevedra,Galicia,108000,60000,18400000,23049,4.69,2.6,798.3,6/17/2023,6/20/2023,https://turismoriasbaixas.com/recursopan1?content=280376969,2023-06-17,2023-06-20
35,Hogueras de San Juan de La Coruña,La Coruña,43.36667,-8.38333,interes internacional,2015,fireworks,La Coruña,Galicia,200000,150000,244300000,244700,0.82,0.61,998.37,6/23/2023,6/24/2023,https://www.hoguerassanjuan.com/,2023-06-23,2023-06-24
36,Rapa das bestas de Sabucedo,La Estrada,42.5875,-8.41444,interes internacional,2007,corrida ,Pontevedra,Galicia,50000,50000,19600000,20106,2.49,2.49,974.83,7/7/2023,7/10/2023,https://rapadasbestas.gal/,2023-07-07,2023-07-10
37,Festival de Ortigueira,Ortigueira,43.68306,-7.85,interes internacional,2005,music,La Coruña,Galicia,435000,100000,5900000,5420,80.26,18.45,1088.56,7/9/2023,7/16/2023,https://festivaldeortigueira.com/es/,2023-07-09,2023-07-16
38,Fiesta de Santiago Apóstol,Santiago de Compostela,42.88333,-8.53333,interes internacional,2001,religious/ popular,La Coruña,Galicia,300000,70000,129800000,98179,3.06,0.71,1322.07,7/25/2023,7/25/2023,https://www.santiagoturismo.com/festas-e-tradicions/festas-do-apostolo-santiago,2023-07-25,2023-07-25
39,Fiesta del Vino Albariño,Cambados,42.51444,-8.81389,interes internacional,2018,gastronomic,Pontevedra,Galicia,250000,20000,8800000,13671,18.29,1.46,643.7,8/2/2023,8/6/2023,http://fiestadelalbariño.com/,2023-08-02,2023-08-06
40,Romería Vikinga de Catoira,Catoira,42.66111,-8.715,interes internacional,2002,historic,Pontevedra,Galicia,83000,40000,2800000,3349,24.78,11.94,836.07,8/6/2023,8/6/2023,https://catoira.gal/es/turismo/romaria-vikinga/,2023-08-06,2023-08-06
41,Carnaval de Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.46667,-16.25,interes internacional,1891,carnaval,Santa Cruz de Tenerife,Islas Canarias ,566000,800000,313500000,208688,2.71,3.83,1502.24,2/25/2023,3/20/2023,https://carnavaldetenerife.com/,2023-02-25,2023-03-20
42,Carnaval de La Palma,Las Palmas de Gran Canaria ,28.12722,-15.43138,interes internacional,1521,carnaval,Las Palmas ,Islas Canarias ,854000,250000,485000000,378797,2.25,0.66,1280.37,2/25/2023,3/20/2023,https://lpacarnaval.com/es/,2023-02-25,2023-03-20
43,Motín de Aranjuez,Aranjuez,40.03333,-3.61667,interes internacional,2014,theater,Madrid,Madrid,500000,150000,50200000,59762,8.37,2.51,840.0,9/4/2023,9/8/2023,https://www.aranjuez.es/actualidad/,2023-09-04,2023-09-08
44,Carnaval de Águilas,Águilas,37.40417,-1.58194,interes internacional,1903,carnaval,Murcia,Murcia,140000,200000,31250000,36403,3.85,5.49,858.45,2/10/2023,3/10/2023,https://www.carnavaldeaguilas.org/,2023-02-10,2023-03-10
45,Semana Santa en Cartagena,Cartagena,37.6,-0.98194,interes internacional,2005,religious/ popular,Murcia,Murcia,120000,100000,247000000,213943,0.56,0.47,1154.51,4/2/2023,4/9/2023,https://semanasanta.cartagena.es,2023-04-02,2023-04-09
46,Semana Santa en Lorca,Lorca,37.68333,-1.7,interes internacional,2007,religious/ popular,Murcia,Murcia,50000,80000,80600000,97151,0.51,0.82,829.64,4/2/2023,4/9/2023,https://semanasantalorca.com/,2023-04-02,2023-04-09
